linkedTimeFindSecond test,
Number Of,Average Time(ms)
5000,12
10000,46
15000,102
20000,184
25000,315
30000,467
35000,603
40000,836
45000,1000
50000,1225
55000,1465
60000,1811
65000,2095
70000,2448
75000,2730
80000,3039
85000,3612
90000,3904
95000,4800
100000,5172
