183,0,0,
381,0,0,
82,0,0,
52,0,0,
43,0,0,
38,0,0,
234,0,0,
344,0,0,
244,0,0,
383,0,0,
169,0,0,
223,0,0,
322,0,0,
97,0,0,
290,0,0,
134,0,0,
202,0,0,
323,0,2033,
119,0,0,
318,0,0,
157,0,0,
16,0,0,
279,0,0,
193,0,0,
265,0,0,
201,0,0,
498,3100,1793,
107,0,0,
273,0,0,
587,5100,2187,
161,0,0,
509,3100,1812,
552,4000,2029,
440,2000,2389,
398,1800,1430,
414,1800,2332,
619,5100,2891,
468,2900,2520,
368,900,2355,
485,2900,2517,
463,2900,2282,
535,4000,3502,
357,0,3172,
595,5100,2887,
677,7100,2888,
524,3100,2618,
643,6000,2920,
689,7100,2970,
660,7100,2938,
322,0,2093,
425,2000,4182,
779,8200,3410,
370,900,3398,
4189,0,0,
755,8200,3399,
912,10400,4907,
823,9100,4165,
719,7100,3434,
4161,0,0,
835,9300,4426,
857,9300,4218,
964,11500,5215,
876,9500,4677,
890,10400,5055,
397,900,3645,
942,11500,5196,
804,9100,4063,
866,9300,4642,
845,9300,4539,
1004,12400,5820,
929,10400,5137,
452,2000,4451,
1045,12600,5822,
1155,14800,5534,
1017,12600,5414,
1185,14800,5960,
1491,21000,6484,
1085,13700,5406,
1357,18800,6204,
568,4200,6448,
1689,24100,6596,
1761,25200,6781,
7238,0,0,
1250,15900,6282,
995,11500,5425,
1126,13700,6862,
1107,13700,6274,
1529,21900,6827,
1335,17900,6225,
1086,13700,6811,
761,8200,3993,
8225,0,0,
1046,12600,6174,
1057,12600,6235,
1388,18800,6473,
1075,12600,6580,
474,2900,5788,
626,5100,7595,
1552,22100,6931,
1204,15700,7601,
1796,25200,7067,
1236,15900,7915,
600,5100,6587,
1826,26300,7634,
2417,26300,7259,
1852,26300,7615,
644,6200,8426,
1809,26300,7385,
528,3100,6438,
1425,19900,8968,
1453,19900,9208,
654,6200,9227,
1272,16800,9588,
1300,16800,9663,
1341,18800,10631,
849,9300,9442,
1213,15900,9414,
1210,15700,9408,
1458,19900,11554,
1266,15900,9501,
12725,0,0,
920,10400,9643,
676,7100,10325,
886,9500,11815,
1548,21900,11864,
1512,21900,11506,
722,7300,10883,
1441,19900,11204,
803,8200,11655,
1657,23200,13620,
1622,23000,12903,
1341,17900,10747,
1610,23000,12724,
940,10600,11964,
941,11500,12224,
1645,23200,13278,
1566,22100,12700,
1084,12800,13357,
1693,24300,14042,
1730,24300,14088,
15804,0,0,
1408,19000,13888,
1187,14800,14683,
1136,13900,14311,
1002,11500,14300,
1158,14800,14643,
1675,23200,13852,
1837,26300,14961,
4050,24600,13165,
10773,17900,6711,
1877,26300,15035,
15873,12800,1777,
1278,16800,15981,
1798,25400,15228,
1116,13700,13370,
1305,17000,13832,
1340,17900,16075,
1484,21000,17633,
1461,20100,17289,
1449,19900,16452,
2430,26300,18587,
1371,18800,17703,
1535,21900,17918,
19456,0,0,
21017,0,0,
21096,0,0,
1768,25200,19120,
21097,0,0,
20691,0,0,
1632,23200,18756,
1687,23200,18971,
1506,21000,17932,
1735,24300,19335,
1739,24300,20462,
1578,22100,18758,
22973,0,0,
23007,0,0,
4162,24600,18811,
4767,23700,18223,
22986,0,0,
15471,12800,7458,
1829,26300,20596,
1883,26500,20859,
8237,20500,16180,
4915,23700,19084,
7240,20900,17096,
10799,17900,14049,
12734,15900,12200,
24958,0,0,
25111,0,0,
26663,0,0,
