,200.0,100.0,66.67,50.0,40.0,
1000000,34579,16536,16883,22333,14365,
2000000,15358,15924,12901,14339,15266,
3000000,16399,16014,22797,13759,14136,
4000000,14529,15478,14036,15166,11631,
5000000,13305,14160,15323,13930,13389,
6000000,15377,13335,13995,14714,12888,
7000000,17365,12894,14754,14065,16731,
8000000,15055,13312,15485,15111,13968,
9000000,16660,14562,14931,13198,17005,
10000000,16795,13176,13450,13017,13402,
