,200.0,100.0,66.67,50.0,40.0,
1000000,11,9,8,7,7,
2000000,13,9,9,7,7,
3000000,12,9,8,9,7,
4000000,12,9,9,7,7,
5000000,12,10,8,8,7,
6000000,12,11,9,10,7,
7000000,13,9,8,8,7,
8000000,12,9,10,8,7,
9000000,13,10,8,7,7,
10000000,14,10,8,7,8,
